text_name	_Fach_	CARD	NN	ART	ADJA	VMFIN	APPRART	APPR	NE	VVINF	PDS	VVFIN	PPER	ADV	KOUS	KON	VVPP	VAFIN	PRF	ADJD	PROAV	PTKZU	VAINF	PTKNEG	PPOSAT	KOKOM	KOUI	VMINF	PRELS	PIAT	PIS	PWAV	VVIZU	PTKVZ	APZR	PWAT	PDAT	PRELAT	TRUNC	PTKA	VAPP	PWS	FM	APPO	XY	VMPP	PTKANT	VVIMP	ITJ	PPOSS	<None>	END
Lin_01.conll	Linguistik	538.0	10395.0	5730.0	3510.0	320.0	652.0	3845.0	988.0	529.0	145.0	1674.0	515.0	1472.0	574.0	1380.0	1043.0	1271.0	274.0	1111.0	303.0	188.0	231.0	268.0	213.0	131.0	46.0	16.0	270.0	385.0	201.0	132.0	88.0	252.0	7.0	28.0	350.0	26.0	92.0	16.0	15.0	17.0	63.0	8.0	109.0	0.0	1.0	28.0	0.0	0.0	0.0	0.0
Lin_02.conll	Linguistik	489.0	7804.0	4206.0	2705.0	270.0	712.0	3335.0	989.0	516.0	135.0	1658.0	481.0	2159.0	584.0	1221.0	716.0	713.0	346.0	1270.0	334.0	184.0	192.0	285.0	217.0	163.0	41.0	14.0	377.0	275.0	177.0	87.0	73.0	243.0	7.0	14.0	252.0	19.0	108.0	17.0	5.0	20.0	12.0	8.0	51.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Lin_03.conll	Linguistik	487.0	6620.0	3691.0	2550.0	268.0	523.0	2638.0	964.0	389.0	82.0	1148.0	382.0	1647.0	510.0	1059.0	772.0	961.0	191.0	970.0	238.0	120.0	198.0	224.0	78.0	126.0	32.0	22.0	242.0	293.0	135.0	93.0	49.0	183.0	16.0	17.0	170.0	23.0	153.0	23.0	25.0	15.0	173.0	2.0	934.0	1.0	4.0	5.0	3.0	0.0	0.0	0.0
Lin_04.conll	Linguistik	819.0	8994.0	4396.0	2629.0	362.0	461.0	3595.0	429.0	514.0	181.0	1051.0	567.0	1175.0	488.0	1201.0	1326.0	1431.0	225.0	896.0	371.0	276.0	299.0	250.0	85.0	127.0	49.0	13.0	188.0	166.0	93.0	56.0	81.0	155.0	9.0	21.0	120.0	21.0	41.0	13.0	15.0	11.0	15.0	2.0	72.0	0.0	12.0	1.0	12.0	2.0	0.0	0.0
Lin_05.conll	Linguistik	454.0	12954.0	7587.0	4322.0	579.0	963.0	4459.0	923.0	847.0	238.0	1735.0	419.0	1541.0	548.0	2285.0	1450.0	1388.0	320.0	1213.0	486.0	308.0	446.0	201.0	192.0	116.0	75.0	27.0	396.0	346.0	145.0	124.0	108.0	335.0	19.0	52.0	482.0	35.0	106.0	19.0	3.0	13.0	156.0	17.0	211.0	0.0	6.0	4.0	0.0	1.0	0.0	0.0
Lin_06.conll	Linguistik	310.0	8425.0	4362.0	2917.0	379.0	551.0	3176.0	438.0	676.0	93.0	1350.0	471.0	1241.0	402.0	1231.0	877.0	1067.0	264.0	1012.0	191.0	145.0	293.0	229.0	287.0	99.0	36.0	19.0	360.0	217.0	173.0	82.0	76.0	227.0	12.0	13.0	326.0	26.0	116.0	7.0	10.0	9.0	26.0	5.0	71.0	0.0	1.0	46.0	0.0	0.0	0.0	0.0
Lin_07.conll	Linguistik	697.0	8679.0	5273.0	3193.0	291.0	622.0	3682.0	638.0	570.0	147.0	1463.0	372.0	1783.0	391.0	1534.0	841.0	1167.0	302.0	1256.0	238.0	306.0	263.0	189.0	191.0	163.0	54.0	17.0	607.0	352.0	184.0	102.0	60.0	186.0	14.0	8.0	245.0	4.0	85.0	5.0	22.0	22.0	11.0	3.0	17.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0
Lin_08.conll	Linguistik	529.0	10992.0	5382.0	4397.0	351.0	742.0	4218.0	1156.0	878.0	158.0	1799.0	858.0	2145.0	839.0	2192.0	1273.0	1656.0	417.0	1618.0	298.0	327.0	213.0	527.0	415.0	151.0	61.0	26.0	512.0	409.0	340.0	156.0	97.0	188.0	16.0	52.0	483.0	17.0	109.0	23.0	29.0	42.0	17.0	3.0	3.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
Lin_09.conll	Linguistik	915.0	13660.0	7103.0	5017.0	353.0	1177.0	5992.0	1739.0	786.0	142.0	2277.0	403.0	3368.0	556.0	2130.0	1243.0	1593.0	725.0	2120.0	491.0	290.0	281.0	305.0	194.0	162.0	32.0	24.0	604.0	482.0	333.0	177.0	145.0	354.0	18.0	28.0	479.0	41.0	70.0	27.0	17.0	24.0	757.0	7.0	203.0	0.0	3.0	19.0	6.0	0.0	0.0	0.0
Lin_10.conll	Linguistik	715.0	13777.0	6432.0	4918.0	604.0	895.0	6299.0	1517.0	916.0	263.0	2124.0	425.0	3171.0	1062.0	1965.0	1488.0	1839.0	410.0	1871.0	539.0	302.0	453.0	362.0	165.0	379.0	50.0	35.0	845.0	764.0	287.0	220.0	67.0	256.0	5.0	48.0	473.0	44.0	193.0	26.0	20.0	52.0	145.0	36.0	65.0	0.0	0.0	6.0	1.0	0.0	0.0	1.0
Lin_11.conll	Linguistik	1922.0	15517.0	7542.0	4350.0	677.0	1049.0	6580.0	862.0	933.0	215.0	2417.0	791.0	3553.0	968.0	2269.0	1771.0	1945.0	479.0	2173.0	383.0	354.0	578.0	481.0	283.0	248.0	130.0	57.0	592.0	678.0	392.0	214.0	124.0	544.0	28.0	61.0	414.0	32.0	126.0	67.0	6.0	29.0	36.0	23.0	320.0	0.0	6.0	25.0	1.0	0.0	0.0	0.0
Lin_12.conll	Linguistik	531.0	9773.0	4869.0	3517.0	429.0	755.0	4287.0	759.0	603.0	190.0	1551.0	519.0	3048.0	553.0	1381.0	1174.0	1300.0	378.0	1552.0	285.0	243.0	354.0	359.0	203.0	223.0	33.0	20.0	443.0	398.0	275.0	228.0	92.0	224.0	19.0	26.0	326.0	41.0	108.0	29.0	19.0	28.0	36.0	5.0	180.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0
Lin_13.conll	Linguistik	743.0	13048.0	6713.0	4032.0	565.0	1002.0	5127.0	704.0	939.0	113.0	1800.0	432.0	1547.0	722.0	1889.0	1673.0	1778.0	343.0	1225.0	275.0	308.0	477.0	275.0	173.0	134.0	99.0	41.0	562.0	351.0	244.0	114.0	82.0	188.0	7.0	45.0	344.0	28.0	116.0	21.0	10.0	30.0	41.0	4.0	151.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0
Lin_14.conll	Linguistik	820.0	9279.0	5132.0	3476.0	424.0	555.0	3839.0	416.0	877.0	173.0	2023.0	824.0	2531.0	684.0	1468.0	1163.0	1788.0	388.0	1861.0	490.0	230.0	315.0	437.0	195.0	210.0	41.0	23.0	430.0	476.0	308.0	158.0	115.0	278.0	8.0	29.0	360.0	23.0	165.0	14.0	42.0	14.0	57.0	10.0	75.0	0.0	2.0	2.0	2.0	1.0	0.0	0.0
Lin_15.conll	Linguistik	183.0	3521.0	1960.0	1258.0	133.0	247.0	1463.0	141.0	233.0	39.0	506.0	113.0	658.0	216.0	376.0	397.0	463.0	117.0	473.0	147.0	115.0	103.0	105.0	35.0	52.0	32.0	13.0	148.0	155.0	46.0	50.0	38.0	65.0	3.0	10.0	129.0	9.0	20.0	1.0	3.0	5.0	8.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Lin_16.conll	Linguistik	290.0	9306.0	5192.0	3386.0	360.0	410.0	3829.0	1381.0	746.0	161.0	1881.0	1064.0	1881.0	1026.0	820.0	840.0	1724.0	302.0	1559.0	339.0	281.0	243.0	331.0	276.0	159.0	67.0	42.0	630.0	455.0	334.0	122.0	57.0	233.0	9.0	57.0	487.0	34.0	14.0	6.0	13.0	93.0	140.0	3.0	277.0	0.0	1.0	5.0	5.0	1.0	0.0	0.0
Lin_17.conll	Linguistik	976.0	8087.0	4455.0	2827.0	334.0	432.0	3521.0	1550.0	575.0	129.0	1476.0	433.0	1749.0	427.0	1239.0	885.0	1059.0	446.0	1214.0	200.0	224.0	207.0	211.0	188.0	164.0	58.0	19.0	288.0	267.0	208.0	165.0	53.0	200.0	6.0	10.0	214.0	11.0	63.0	17.0	14.0	16.0	391.0	2.0	239.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
Lin_18.conll	Linguistik	242.0	5760.0	3478.0	1677.0	153.0	524.0	1954.0	731.0	314.0	96.0	1462.0	407.0	676.0	342.0	840.0	540.0	650.0	182.0	717.0	183.0	44.0	142.0	150.0	154.0	121.0	6.0	6.0	176.0	157.0	72.0	68.0	24.0	297.0	10.0	6.0	125.0	8.0	41.0	2.0	2.0	14.0	14.0	8.0	49.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
Lin_19.conll	Linguistik	344.0	14802.0	7542.0	5272.0	796.0	1319.0	5862.0	832.0	1206.0	162.0	1880.0	503.0	3146.0	665.0	3435.0	1401.0	1317.0	398.0	1575.0	474.0	435.0	542.0	313.0	250.0	228.0	109.0	89.0	572.0	255.0	360.0	253.0	102.0	260.0	43.0	37.0	141.0	26.0	359.0	26.0	21.0	26.0	235.0	5.0	51.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Lin_20.conll	Linguistik	959.0	5061.0	2973.0	1542.0	110.0	473.0	2122.0	989.0	332.0	124.0	918.0	303.0	1140.0	353.0	627.0	420.0	803.0	195.0	706.0	154.0	128.0	112.0	111.0	90.0	101.0	32.0	12.0	208.0	212.0	123.0	71.0	53.0	106.0	7.0	7.0	224.0	23.0	11.0	8.0	14.0	12.0	14.0	0.0	14.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Lin_21.conll	Linguistik	979.0	14524.0	7577.0	5154.0	295.0	1285.0	6106.0	1368.0	822.0	293.0	2319.0	462.0	3612.0	582.0	2411.0	1583.0	1653.0	554.0	1813.0	419.0	357.0	354.0	334.0	222.0	228.0	83.0	45.0	648.0	562.0	382.0	214.0	132.0	324.0	20.0	49.0	512.0	35.0	124.0	17.0	9.0	53.0	115.0	4.0	35.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0
Lin_22.conll	Linguistik	759.0	17753.0	9181.0	6265.0	405.0	1271.0	6662.0	1635.0	1073.0	402.0	3048.0	1254.0	3387.0	936.0	2420.0	1162.0	1550.0	600.0	2407.0	613.0	497.0	249.0	516.0	1103.0	183.0	113.0	35.0	573.0	408.0	303.0	182.0	187.0	602.0	59.0	15.0	666.0	35.0	100.0	20.0	27.0	43.0	51.0	4.0	114.0	0.0	9.0	9.0	5.0	0.0	0.0	0.0
Lin_23.conll	Linguistik	484.0	19465.0	9963.0	6032.0	797.0	1479.0	8049.0	2499.0	1344.0	446.0	3976.0	1611.0	4955.0	1276.0	2788.0	2149.0	2707.0	635.0	2942.0	745.0	408.0	473.0	542.0	542.0	314.0	83.0	26.0	947.0	679.0	632.0	357.0	104.0	525.0	38.0	46.0	431.0	26.0	83.0	14.0	23.0	79.0	265.0	12.0	52.0	0.0	4.0	12.0	18.0	0.0	0.0	0.0
Lin_24.conll	Linguistik	498.0	10257.0	4966.0	3724.0	221.0	576.0	4109.0	1165.0	526.0	100.0	1711.0	249.0	1116.0	478.0	1782.0	1055.0	1197.0	415.0	1317.0	298.0	152.0	248.0	189.0	143.0	145.0	40.0	21.0	464.0	349.0	80.0	54.0	67.0	274.0	3.0	18.0	399.0	34.0	57.0	11.0	4.0	4.0	40.0	11.0	26.0	0.0	1.0	3.0	4.0	0.0	0.0	1.0
Lin_25.conll	Linguistik	547.0	16707.0	7807.0	6452.0	592.0	977.0	5743.0	2338.0	937.0	146.0	3196.0	687.0	2554.0	641.0	2199.0	1524.0	1781.0	642.0	2506.0	418.0	339.0	443.0	446.0	331.0	332.0	152.0	47.0	551.0	439.0	209.0	149.0	121.0	676.0	13.0	46.0	591.0	19.0	123.0	11.0	13.0	13.0	89.0	5.0	56.0	0.0	1.0	7.0	4.0	0.0	0.0	0.0
Lin_26.conll	Linguistik	407.0	8174.0	4434.0	3024.0	466.0	489.0	3178.0	873.0	697.0	195.0	1644.0	661.0	2011.0	708.0	1288.0	919.0	1131.0	364.0	1261.0	405.0	219.0	305.0	216.0	255.0	123.0	58.0	71.0	427.0	267.0	359.0	159.0	70.0	252.0	4.0	24.0	385.0	22.0	56.0	8.0	14.0	17.0	88.0	5.0	79.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
Lin_27.conll	Linguistik	198.0	3234.0	1896.0	1208.0	100.0	200.0	1149.0	174.0	229.0	44.0	486.0	282.0	640.0	184.0	461.0	256.0	399.0	109.0	382.0	176.0	94.0	60.0	91.0	74.0	53.0	18.0	4.0	150.0	124.0	112.0	61.0	46.0	75.0	12.0	25.0	120.0	11.0	9.0	6.0	8.0	8.0	11.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lin_28.conll	Linguistik	581.0	15623.0	7853.0	5201.0	554.0	876.0	5539.0	619.0	1351.0	141.0	2481.0	1241.0	2666.0	802.0	3828.0	2027.0	2017.0	489.0	1990.0	538.0	436.0	494.0	456.0	367.0	208.0	174.0	44.0	1075.0	415.0	273.0	261.0	182.0	286.0	26.0	56.0	110.0	48.0	289.0	9.0	25.0	53.0	5.0	2.0	11.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
Lin_29.conll	Linguistik	989.0	9923.0	4679.0	3549.0	421.0	599.0	4139.0	796.0	902.0	173.0	2049.0	641.0	2377.0	561.0	1701.0	1047.0	1382.0	417.0	1757.0	291.0	188.0	302.0	288.0	166.0	191.0	56.0	22.0	404.0	472.0	310.0	183.0	95.0	302.0	21.0	29.0	256.0	33.0	250.0	25.0	33.0	40.0	75.0	7.0	150.0	0.0	2.0	8.0	3.0	0.0	1.0	0.0
Lin_30.conll	Linguistik	269.0	3107.0	1868.0	1303.0	190.0	149.0	1151.0	414.0	387.0	85.0	746.0	366.0	722.0	291.0	508.0	404.0	637.0	112.0	564.0	157.0	52.0	205.0	140.0	74.0	78.0	8.0	3.0	142.0	118.0	85.0	46.0	19.0	77.0	12.0	4.0	182.0	11.0	21.0	3.0	19.0	3.0	14.0	2.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lit_01.conll	Literaturwissenschaft	609.0	6846.0	4465.0	2597.0	387.0	520.0	2770.0	1008.0	457.0	145.0	1329.0	372.0	1679.0	511.0	918.0	924.0	827.0	251.0	1080.0	298.0	174.0	265.0	274.0	218.0	118.0	26.0	19.0	325.0	148.0	171.0	102.0	42.0	183.0	30.0	10.0	292.0	19.0	64.0	8.0	30.0	21.0	104.0	18.0	103.0	1.0	6.0	2.0	1.0	0.0	0.0	0.0
Lit_02.conll	Literaturwissenschaft	390.0	14299.0	8558.0	4509.0	377.0	1130.0	6524.0	3246.0	765.0	258.0	2854.0	890.0	3190.0	610.0	2449.0	1347.0	1382.0	690.0	1703.0	449.0	361.0	268.0	486.0	668.0	253.0	74.0	38.0	1045.0	325.0	397.0	209.0	72.0	234.0	34.0	25.0	485.0	39.0	85.0	23.0	64.0	51.0	72.0	7.0	61.0	0.0	3.0	3.0	2.0	0.0	0.0	0.0
Lit_03.conll	Literaturwissenschaft	506.0	10511.0	5507.0	3426.0	239.0	809.0	4722.0	3361.0	616.0	199.0	2405.0	1028.0	2645.0	429.0	1463.0	939.0	1188.0	592.0	1373.0	285.0	393.0	194.0	336.0	868.0	230.0	78.0	23.0	560.0	281.0	320.0	150.0	129.0	305.0	26.0	15.0	268.0	40.0	41.0	17.0	59.0	22.0	79.0	25.0	76.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0
Lit_04.conll	Literaturwissenschaft	263.0	12818.0	7573.0	2734.0	472.0	976.0	4955.0	3200.0	801.0	118.0	2588.0	1123.0	1279.0	639.0	2575.0	1267.0	1666.0	518.0	1010.0	279.0	310.0	251.0	267.0	729.0	116.0	76.0	21.0	537.0	254.0	208.0	144.0	139.0	425.0	10.0	23.0	522.0	14.0	50.0	8.0	21.0	18.0	21.0	9.0	24.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0
Lit_05.conll	Literaturwissenschaft	184.0	15614.0	9085.0	5054.0	851.0	1108.0	5251.0	895.0	1308.0	333.0	3033.0	1443.0	3558.0	831.0	1971.0	1459.0	2175.0	763.0	1705.0	420.0	566.0	409.0	630.0	634.0	280.0	78.0	54.0	889.0	565.0	760.0	237.0	143.0	384.0	19.0	29.0	737.0	24.0	67.0	30.0	91.0	99.0	23.0	6.0	30.0	2.0	3.0	1.0	3.0	1.0	0.0	0.0
Lit_06.conll	Literaturwissenschaft	587.0	20235.0	13717.0	6476.0	337.0	1084.0	8297.0	4095.0	1042.0	283.0	3871.0	1165.0	2646.0	578.0	2924.0	1400.0	1878.0	1024.0	1581.0	399.0	470.0	200.0	471.0	1331.0	241.0	102.0	39.0	1129.0	359.0	219.0	183.0	163.0	625.0	51.0	20.0	669.0	23.0	66.0	20.0	30.0	22.0	464.0	15.0	42.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0
Lit_07.conll	Literaturwissenschaft	248.0	18570.0	9814.0	4711.0	920.0	1491.0	8340.0	3570.0	2471.0	678.0	5933.0	5176.0	7718.0	1669.0	3749.0	2200.0	3478.0	1686.0	3686.0	1030.0	1342.0	533.0	1147.0	2011.0	631.0	303.0	160.0	1759.0	797.0	852.0	461.0	328.0	636.0	40.0	38.0	852.0	62.0	45.0	62.0	85.0	169.0	91.0	25.0	171.0	0.0	10.0	3.0	6.0	1.0	0.0	0.0
Lit_08.conll	Literaturwissenschaft	188.0	22714.0	12796.0	8266.0	430.0	1563.0	9022.0	691.0	1379.0	654.0	4739.0	2553.0	5946.0	1116.0	3646.0	2146.0	2057.0	1108.0	2517.0	1005.0	621.0	278.0	553.0	1952.0	302.0	197.0	55.0	1737.0	501.0	438.0	223.0	195.0	561.0	112.0	61.0	1255.0	83.0	112.0	29.0	25.0	11.0	67.0	28.0	95.0	2.0	3.0	1.0	1.0	0.0	0.0	0.0
Lit_09.conll	Literaturwissenschaft	308.0	14933.0	8885.0	4689.0	514.0	892.0	5896.0	2073.0	877.0	273.0	2199.0	796.0	3395.0	487.0	2623.0	1167.0	1457.0	405.0	1260.0	518.0	404.0	322.0	269.0	366.0	148.0	58.0	18.0	861.0	211.0	260.0	154.0	127.0	263.0	39.0	25.0	228.0	40.0	188.0	4.0	34.0	41.0	134.0	5.0	92.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0
Lit_10.conll	Literaturwissenschaft	525.0	13837.0	8020.0	5413.0	321.0	1284.0	5839.0	2753.0	826.0	324.0	3037.0	963.0	4088.0	465.0	2099.0	1465.0	1771.0	589.0	2046.0	465.0	400.0	193.0	335.0	720.0	294.0	98.0	28.0	631.0	498.0	350.0	208.0	78.0	310.0	21.0	21.0	356.0	18.0	63.0	35.0	73.0	20.0	31.0	6.0	3.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Lit_11.conll	Literaturwissenschaft	239.0	11154.0	5496.0	3251.0	178.0	797.0	4538.0	2705.0	545.0	227.0	2338.0	1151.0	2191.0	333.0	1717.0	998.0	1473.0	493.0	1415.0	262.0	268.0	107.0	197.0	833.0	175.0	97.0	5.0	510.0	276.0	233.0	184.0	71.0	306.0	23.0	39.0	262.0	37.0	45.0	9.0	17.0	47.0	18.0	8.0	7.0	0.0	3.0	11.0	1.0	0.0	0.0	0.0
Lit_12.conll	Literaturwissenschaft	631.0	12368.0	6107.0	3073.0	540.0	638.0	5311.0	2216.0	1445.0	301.0	3303.0	2301.0	3317.0	942.0	2262.0	1335.0	1851.0	971.0	1814.0	417.0	647.0	265.0	552.0	1131.0	247.0	128.0	99.0	832.0	403.0	445.0	204.0	162.0	440.0	34.0	53.0	464.0	50.0	57.0	34.0	63.0	92.0	24.0	12.0	484.0	2.0	14.0	4.0	2.0	0.0	0.0	0.0
Lit_13.conll	Literaturwissenschaft	860.0	20233.0	12227.0	6074.0	437.0	1185.0	9840.0	3862.0	1022.0	224.0	3912.0	2033.0	4431.0	546.0	3317.0	1697.0	2314.0	751.0	2028.0	480.0	544.0	362.0	517.0	916.0	318.0	82.0	35.0	1119.0	420.0	418.0	144.0	154.0	715.0	47.0	36.0	818.0	25.0	64.0	21.0	58.0	36.0	69.0	15.0	134.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0
Lit_14.conll	Literaturwissenschaft	372.0	26425.0	15755.0	7034.0	599.0	1734.0	10736.0	4167.0	1470.0	639.0	4703.0	1914.0	4588.0	1065.0	4184.0	2611.0	3030.0	1189.0	2262.0	822.0	775.0	449.0	674.0	887.0	460.0	145.0	65.0	1556.0	360.0	511.0	304.0	203.0	642.0	70.0	21.0	649.0	86.0	149.0	17.0	121.0	94.0	273.0	27.0	25.0	1.0	5.0	5.0	1.0	2.0	0.0	0.0
Lit_15.conll	Literaturwissenschaft	225.0	15224.0	9185.0	4045.0	525.0	1033.0	6365.0	2858.0	1450.0	308.0	3535.0	1464.0	3936.0	834.0	2920.0	1441.0	2120.0	1006.0	1969.0	417.0	614.0	318.0	619.0	881.0	199.0	114.0	102.0	1085.0	380.0	566.0	243.0	156.0	394.0	17.0	28.0	859.0	16.0	67.0	20.0	67.0	58.0	32.0	6.0	5.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0
Lit_16.conll	Literaturwissenschaft	270.0	14737.0	8883.0	5835.0	468.0	957.0	5830.0	2310.0	1001.0	234.0	2611.0	969.0	2658.0	676.0	3441.0	1286.0	1562.0	510.0	1567.0	316.0	450.0	267.0	619.0	980.0	194.0	81.0	44.0	1034.0	418.0	297.0	241.0	89.0	291.0	25.0	64.0	1032.0	48.0	56.0	14.0	16.0	24.0	78.0	10.0	11.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
Lit_17.conll	Literaturwissenschaft	192.0	14031.0	7089.0	4149.0	430.0	1038.0	6240.0	1652.0	1175.0	285.0	3592.0	2594.0	3317.0	939.0	2281.0	1263.0	1524.0	1125.0	1859.0	499.0	699.0	271.0	613.0	1575.0	167.0	164.0	47.0	717.0	401.0	290.0	163.0	195.0	475.0	32.0	21.0	287.0	42.0	87.0	18.0	11.0	38.0	21.0	15.0	63.0	0.0	7.0	9.0	3.0	0.0	0.0	0.0
Lit_18.conll	Literaturwissenschaft	315.0	18265.0	11190.0	5251.0	348.0	1287.0	7279.0	1819.0	981.0	169.0	3550.0	1291.0	3434.0	863.0	3262.0	1604.0	2182.0	1031.0	1524.0	646.0	401.0	209.0	491.0	1064.0	311.0	140.0	27.0	1071.0	465.0	381.0	90.0	131.0	415.0	164.0	5.0	689.0	49.0	62.0	21.0	34.0	25.0	115.0	11.0	237.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Lit_19.conll	Literaturwissenschaft	1139.0	21148.0	11393.0	8286.0	368.0	1565.0	8237.0	5688.0	1135.0	459.0	3518.0	820.0	3476.0	787.0	3342.0	1299.0	1781.0	530.0	2206.0	558.0	636.0	263.0	510.0	417.0	232.0	110.0	32.0	591.0	418.0	483.0	150.0	156.0	437.0	34.0	29.0	545.0	65.0	134.0	25.0	25.0	24.0	905.0	12.0	209.0	3.0	2.0	3.0	2.0	0.0	0.0	0.0
Lit_20.conll	Literaturwissenschaft	118.0	5439.0	2941.0	1882.0	106.0	440.0	2188.0	1131.0	414.0	143.0	1160.0	504.0	1069.0	260.0	1002.0	543.0	620.0	269.0	709.0	156.0	183.0	63.0	145.0	608.0	85.0	37.0	8.0	339.0	159.0	180.0	68.0	49.0	166.0	12.0	9.0	187.0	17.0	30.0	1.0	15.0	24.0	19.0	7.0	6.0	1.0	1.0	3.0	1.0	0.0	0.0	0.0
Lit_21.conll	Literaturwissenschaft	643.0	11361.0	6953.0	3828.0	286.0	857.0	4433.0	1785.0	459.0	109.0	2024.0	717.0	1375.0	287.0	1283.0	1528.0	1788.0	418.0	1212.0	163.0	184.0	275.0	261.0	376.0	126.0	27.0	12.0	578.0	214.0	128.0	88.0	53.0	243.0	4.0	8.0	435.0	34.0	54.0	12.0	18.0	41.0	31.0	4.0	75.0	1.0	2.0	4.0	1.0	0.0	0.0	0.0
Lit_22.conll	Literaturwissenschaft	210.0	22985.0	13038.0	6845.0	1088.0	1329.0	10335.0	3197.0	2382.0	649.0	5115.0	4103.0	10094.0	2379.0	3563.0	2908.0	3507.0	1761.0	3763.0	1051.0	879.0	588.0	1166.0	2587.0	405.0	167.0	114.0	2113.0	604.0	617.0	652.0	264.0	567.0	114.0	13.0	1046.0	111.0	50.0	76.0	162.0	108.0	68.0	50.0	154.0	4.0	6.0	7.0	5.0	0.0	0.0	0.0
Lit_23.conll	Literaturwissenschaft	318.0	15084.0	9021.0	6249.0	203.0	937.0	6720.0	2974.0	544.0	312.0	2526.0	795.0	2583.0	868.0	1952.0	1574.0	1667.0	653.0	1683.0	536.0	242.0	216.0	275.0	667.0	269.0	67.0	7.0	683.0	385.0	110.0	220.0	71.0	368.0	103.0	20.0	433.0	51.0	90.0	5.0	48.0	19.0	7.0	16.0	4.0	0.0	6.0	5.0	0.0	2.0	0.0	0.0
Lit_24.conll	Literaturwissenschaft	411.0	10753.0	6052.0	3990.0	375.0	796.0	4384.0	2771.0	686.0	276.0	2513.0	1002.0	2255.0	432.0	1774.0	722.0	1029.0	477.0	1086.0	307.0	311.0	163.0	405.0	776.0	125.0	53.0	33.0	537.0	302.0	132.0	76.0	68.0	437.0	31.0	10.0	260.0	16.0	48.0	10.0	15.0	9.0	16.0	15.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Lit_25.conll	Literaturwissenschaft	375.0	17486.0	10253.0	5285.0	429.0	1377.0	6675.0	2834.0	1091.0	424.0	3582.0	1781.0	3168.0	827.0	2164.0	1446.0	2096.0	684.0	1875.0	370.0	619.0	250.0	433.0	1433.0	279.0	77.0	44.0	959.0	298.0	245.0	132.0	170.0	359.0	88.0	15.0	609.0	57.0	67.0	18.0	40.0	38.0	110.0	14.0	130.0	0.0	5.0	2.0	1.0	2.0	0.0	0.0
