text_name	_Fach_	--	AC	ADC	AG	AMS	APP	AVC	CC	CD	CJ	CM	CP	CVC	DA	DH	DM	EP	JU	MNR	MO	NG	NK	NMC	OA	OA2	OC	OG	OP	PAR	PD	PG	PH	PM	PNC	RC	RE	RS	SB	SBP	SP	SVP	UC	VO
Lin_01	Linguistik	2110	35	0.0	1774	8	93	2.0	121	1373	2111	131	611	22	139	0.0	1.0	57	6	1285	5500	265	15061	12.0	1430	2.0	1587	4.0	257	64	597	268	5	207	352	288	164	2.0	3150	67	0.0	261	25.0	3.0
Lin_02	Linguistik	1431	27	0.0	1123	6	65	0.0	120	1190	1571	148	613	7	155	0.0	1.0	140	30	1091	6373	282	11936	57.0	1305	1.0	1152	9.0	316	52	353	182	5	198	273	387	169	1.0	2430	38	0.0	244	5.0	0.0
Lin_03	Linguistik	1436	43	0.0	1044	6	65	3.0	111	994	1396	119	530	10	110	0.0	2.0	51	27	917	4881	220	10601	8.0	979	2.0	1247	2.0	163	51	413	148	5	124	805	245	162	6.0	2234	49	0.0	159	79.0	2.0
Lin_04	Linguistik	1860	26	0.0	1254	7	56	0.0	109	1193	1814	131	530	20	100	0.0	14.0	72	9	1030	4759	248	12214	24.0	1065	0.0	2018	2.0	220	57	375	390	11	274	94	203	163	18.0	2710	75	1.0	158	10.0	2.0
Lin_05	Linguistik	2454	31	0.0	2247	13	105	1.0	83	2251	2955	120	606	23	153	0.0	6.0	84	37	1667	6163	200	18953	32.0	1747	0.0	2395	15.0	431	61	386	293	7	319	244	395	202	6.0	3471	102	0.0	342	53.0	1.0
Lin_06	Linguistik	1730	36	1.0	1401	3	56	0.0	72	1202	1861	93	423	47	164	0.0	0.0	74	5	914	4544	224	11984	7.0	1229	3.0	1517	3.0	240	78	555	198	3	154	73	377	110	10.0	2624	94	0.0	216	17.0	2.0
Lin_07	Linguistik	1544	46	0.0	1404	5	85	0.0	161	1526	2021	177	434	9	109	0.0	1.0	65	6	1184	5812	180	13848	11.0	1199	0.0	1342	6.0	229	55	564	196	4	311	28	605	110	3.0	2710	69	0.0	190	2.0	1.0
Lin_08	Linguistik	1844	32	1.0	1764	7	61	1.0	125	2183	2843	146	896	45	184	0.0	1.0	123	21	1163	6934	522	16399	110.0	1974	0.0	1915	5.0	484	64	736	294	18	335	231	530	265	2.0	3554	106	0.0	189	8.0	3.0
Lin_09	Linguistik	2460	103	0.0	2116	15	148	1.0	142	2117	3127	158	561	41	141	0.0	5.0	126	9	1909	9911	299	21345	6.0	1902	0.0	1950	1.0	478	138	777	400	12	298	651	600	159	13.0	3714	103	0.0	353	575.0	8.0
Lin_10	Linguistik	2180	43	1.0	1838	5	88	1.0	318	1959	2398	379	1088	25	194	0.0	0.0	120	26	2019	9800	354	20682	41.0	1878	3.0	2525	4.0	372	73	795	624	10	322	392	853	286	5.0	4403	136	1.0	245	43.0	1.0
Lin_11	Linguistik	2723	96	0.0	1777	26	134	1.0	230	2199	3113	266	1076	24	246	0.0	6.0	130	71	2379	10349	478	22460	82.0	2422	1.0	2832	10.0	425	150	1000	297	29	381	363	622	325	17.0	4860	113	0.0	515	14.0	3.0
Lin_12	Linguistik	1815	58	0.0	1312	9	57	1.0	222	1376	1836	231	578	37	144	0.0	0.0	79	8	1467	7926	356	14729	10.0	1492	2.0	1908	6.0	282	62	565	186	9	269	224	456	154	6.0	3158	106	0.0	224	11.0	0.0
Lin_13	Linguistik	2415	25	0.0	1749	2	68	0.0	122	1880	2403	125	810	39	177	0.0	2.0	74	7	1717	6630	272	18366	15.0	1808	0.0	2677	5.0	386	59	585	415	10	320	164	599	219	4.0	4065	95	0.0	185	24.0	1.0
Lin_14	Linguistik	2310	32	0.0	1171	4	84	1.0	144	1446	2341	187	686	19	151	0.0	2.0	147	28	946	7421	429	14339	62.0	1625	0.0	2069	4.0	305	76	1032	153	16	231	51	428	217	5.0	3731	57	0.0	260	21.0	0.0
Lin_15	Linguistik	574	7	0.0	612	3	14	0.0	44	380	470	55	250	9	40	0.0	0.0	28	1	465	2321	99	5435	0.0	484	0.0	659	5.0	127	11	170	81	3	118	16	142	73	2.0	1004	29	0.0	64	4.0	0.0
Lin_16	Linguistik	1869	17	0.0	1427	1	80	0.0	114	810	1110	138	1077	21	219	0.0	1.0	215	25	891	6298	318	14589	27.0	1949	1.0	1591	7.0	389	66	1080	406	2	286	477	646	471	3.0	3813	134	0.0	210	90.0	4.0
Lin_17	Linguistik	1893	56	0.0	1021	4	65	0.0	141	1236	1661	163	479	7	100	0.0	1.0	99	8	953	5721	210	12841	38.0	1597	1.0	1473	5.0	214	93	413	220	17	238	440	311	134	31.0	2702	71	0.0	192	401.0	3.0
