	Feature	value
7	NE	0.4870041266676712
1	NN	-0.27423294148604827
0	CARD	-0.2697458123280735
23	PPOSAT	0.26578368962242266
11	PPER	0.24339284265787536
3	ADJA	-0.21072056442567655
2	ART	0.20216323246776335
18	ADJD	-0.196636288907125
10	VVFIN	0.17852966656083852
16	VAFIN	-0.11402878743369908
13	KOUS	-0.10308154181455603
15	VVPP	-0.09915693999279995
27	PRELS	0.09087564209958165
17	PRF	0.08971329159917726
21	VAINF	-0.08964036170932657
12	ADV	0.08808057676514841
28	PIAT	-0.08281489240065548
4	VMFIN	-0.07807432804716105
8	VVINF	-0.05938950514098171
43	XY	-0.059165260808037835
20	PTKZU	0.0384666805246701
37	TRUNC	-0.03597874970387062
19	PROAV	-0.03155308584685612
9	PDS	0.02729427258284989
41	FM	-0.02450910291940467
35	PDAT	0.02008079138116771
14	KON	0.015646706418845358
39	VAPP	0.011150440915179655
5	APPRART	-0.01111290509503976
24	KOKOM	-0.011082342290486423
33	APZR	0.008937101395375817
34	PWAT	-0.008880544426760666
30	PWAV	-0.007302939447016987
32	PTKVZ	-0.005577104768890905
6	APPR	0.00479024141380191
22	PTKNEG	0.004224919157273285
46	VVIMP	-0.003391999851856163
40	PWS	0.0031978872263957875
31	VVIZU	-0.002857944264759018
25	KOUI	0.002649753926088045
38	PTKA	-0.0024647294879558603
42	APPO	0.001923948442152374
26	VMINF	-0.001009495116753109
47	ITJ	-0.0009113096795074385
36	PRELAT	-0.0007684627422426629
44	VMPP	0.0003782165634995924
29	PIS	-0.0002894110350896949
45	PTKANT	0.00013191915373984874
48	PPOSS	2.8636612752129244e-05
