	Feature	value
12789	er_PPER	0.11858643908719606
19145	und_KON	0.11176671735764286
11834	des_ART	0.11122235456599174
10894	bei_APPR	-0.10873927681331211
18160	sich_PRF	0.09088977260589921
11690	dass_KOUS	-0.08081327737581294
18200	sind_VAFIN	-0.07977072810068837
20716	werden_VAINF	-0.07401218824794908
17027	oder_KON	-0.0644066099306101
15255	in_APPR	0.06338232161083143
11761	dem_ART	0.062404622703723926
18177	sie_PPER	0.058093318337313134
11805	der_ART	0.055234992437363906
9730	als_APPR	0.05231341340897451
18074	seine_PPOSAT	0.050640755851629665
18077	seiner_PPOSAT	0.050393728905310665
11680	das_ART	0.04835295374220014
11808	der_PRELS	0.04637391237028067
20715	werden_VAFIN	-0.04178429416075925
21086	zu_PTKZU	0.039667808957239994
16012	können_VMFIN	-0.03618877326124018
11932	die_ART	-0.036186229137484316
9769	an_APPR	0.035885389920988546
18092	selbst_ADV	0.034984208659063126
20845	wird_VAFIN	0.03496055252830721
8246	Verben_NN	-0.03239542491153603
15216	im_APPRART	-0.032001575702040194
20927	wurden_VAFIN	-0.03168855062125955
15199	ihm_PPER	0.030716074835116576
18249	so_ADV	0.030346278156893156
13818	für_APPR	-0.029514494230380304
12262	eine_ART	-0.0294714128430138
15200	ihn_PPER	0.02725865909692514
8842	Welt_NN	0.027255729726037972
5104	Leben_NN	0.02679783594380338
0	%_NN	-0.026673846557073427
4283	Ich_PPER	0.025642400723458754
1600	Beispiel_NN	-0.02459865011921863
6724	Roman_NN	0.024011767168742357
21316	zwei_CARD	-0.02395013987736075
14745	haben_VAFIN	-0.023901848804320308
18076	seinen_PPOSAT	0.023820259918270095
11550	bzw._KON	-0.023523806514418127
5508	Menschen_NN	0.023520565825898204
12100	durch_APPR	0.02338926948884995
18075	seinem_PPOSAT	0.022703189702780145
9118	Zeit_NN	0.02250585176851381
15208	ihrer_PPOSAT	0.022331022967379342
8241	Verb_NN	-0.021861415034014457
11682	das_PRELS	0.021856723313051912
15204	ihre_PPOSAT	0.021543952177751978
3122	Figuren_NN	0.02090023690407411
18290	sondern_KON	0.020668609160534743
5310	Literatur_NN	0.020285643444566345
2787	Ergebnisse_NN	-0.0201912269724498
15589	kann_VMFIN	-0.020026877234970597
3280	Frau_NN	0.019839836748693183
14785	hat_VAFIN	0.019717419153399987
21083	zu_APPR	0.019233471336210232
3121	Figur_NN	0.018977665228389614
1100	Arbeit_NN	-0.01896401693855557
3702	Gesellschaft_NN	0.018571779937593846
20926	wurde_VAFIN	-0.018368820228534498
