	Feature	value
12335	er	0.11858099250894381
19615	werden	-0.11579648240870834
18219	und	0.11176671735764286
11459	des	0.11148132129705776
10684	bei	-0.10883547057784149
11438	der	0.10407889828442793
17306	sich	0.09088977260589921
11355	dass	-0.08202599339922209
17344	sind	-0.07977072810068837
11410	dem	0.0772715740092662
11353	das	0.07262406845172084
16228	oder	-0.0644066099306101
14610	in	0.06318321165309179
17323	sie	0.0580649519571469
19941	zu	0.054076210606290934
17221	seine	0.05066604810175432
17224	seiner	0.050411560574354884
9622	als	0.04845073987420557
15292	können	-0.03970459389683048
17240	selbst	0.034984208659063126
19734	wird	0.03496055252830721
4239	Ich	0.03435092084656441
9654	an	0.033704457696987974
8209	Verben	-0.03239542491153603
14563	ihr	0.032126474814252834
14576	im	-0.032001575702040194
19809	wurden	-0.03168855062125955
14560	ihm	0.030716074835116576
17392	so	0.03037011776401643
13239	für	-0.02961379149338503
11852	eine	-0.029053680416256833
14561	ihn	0.02725865909692514
8806	Welt	0.027239528834988966
14139	haben	-0.026966229770676302
5062	Leben	0.02691872128876338
0	%	-0.026810232069089827
6692	Roman	0.026203553046275096
1586	Beispiel	-0.02459865011921863
20173	zwei	-0.02395013987736075
17223	seinen	0.023836496847542035
5469	Menschen	0.023542699511162064
11243	bzw.	-0.023505974845373905
17222	seinem	0.022703189702780145
14567	ihrer	0.022654856087457945
11695	durch	0.022545604332213344
9078	Zeit	0.02253523401248564
8204	Verb	-0.02210507348021257
19845	z.B.	-0.021604163087486715
14564	ihre	0.021543952177751978
3093	Figuren	0.02090023690407411
17426	sondern	0.020668609160534743
5263	Literatur	0.020303475113610567
2760	Ergebnisse	-0.0201912269724498
14910	kann	-0.020013160378325456
3249	Frau	0.019752742643512535
14177	hat	0.019717419153399987
3092	Figur	0.01903642538900072
1092	Arbeit	-0.018947780009283634
11296	d.h.	-0.01894055135534315
3671	Gesellschaft	0.018546431395135038
10027	auf	-0.018371626485484543
19808	wurde	-0.018368820228534498
14939	keine	-0.01807589406704605
15632	man	-0.017817384887460715
16126	noch	0.017424966521225972
11547	die	-0.017179663326825745
12741	es	-0.016962345397804
15790	mit	-0.016745556557511556
6798	Satz	-0.016718610468424933
19687	wieder	0.016467094264701033
8836	Werk	0.0164291925362314
14593	immer	0.016167297058089114
13958	gibt	-0.016003732120120583
8498	Verwendung	-0.01596778598191555
3889	Gruppe	-0.01591896654559826
7378	Stadt	0.015854065316008945
19122	verwendet	-0.01582675813861521
11616	doch	0.01576827393709093
274	2	-0.015651591527767787
896	Analyse	-0.015502161704926787
17441	sowie	-0.015489818668361703
8094	Untersuchung	-0.015440102348250783
4673	Klasse	-0.015056883254028326
1587	Beispiele	-0.015025564370113957
6528	Regel	-0.015022284386211837
3434	Gedicht	0.014990743277010719
9045	Wörter	-0.01494684165890984
4044	Heimat	0.014850976829758894
19495	war	0.014806374293027523
4591	Kapitel	-0.014780399476975889
4804	Konnotation	-0.014470521927926654
26	1	-0.014353173458567289
14566	ihren	0.0143330427986175
8942	Wirklichkeit	0.01433038615863081
11297	da	-0.01419490661560685
11805	eigenen	0.014125064555445176
19258	von	-0.014100056289770069
5233	Liebe	0.014016336226434632
11655	drei	-0.013889052715644612
7807	Tod	0.013866291266206053
9623	also	-0.013830851495171
7706	Text	0.013745491143721412
16199	ob	-0.013726568530597998
13039	folgende	-0.013653661538297519
15535	literarischen	0.01364470042986846
14848	jedoch	-0.013529926687242193
13752	gesellschaftlichen	0.013498521014139925
19732	wir	-0.013487023875056965
650	>	-0.013276960176430465
781	Adjektive	-0.013246444921021634
7602	Sätze	-0.01305286989062271
7504	Studierenden	-0.013052812878773934
6279	Probanden	-0.013030596411393194
7619	Tabelle	-0.013025895407515937
17820	syntaktische	-0.01299730328018076
17822	syntaktischen	-0.012933845112663789
11425	denen	-0.012923400776489142
2896	Erzähler	0.012763953685959183
19864	zeigen	-0.01271822162108974
3012	Fall	-0.012700413449540426
11298	dabei	-0.012593589312707858
9637	am	0.01258099211571766
7036	Schüler	-0.012523319083251617
17227	seines	0.012523097668281738
3408	Gebrauch	-0.01245788018965143
8304	Vergleich	-0.012392773229153713
2635	Ende	0.01235846871036245
11826	ein	-0.012346392683425744
780	Adjektiv	-0.012337648212889619
10697	beim	-0.012233397838852541
1141	Artikel	-0.012050839477590109
17275	semantische	-0.012024306711339803
9569	alle	-0.01200577348939096
3639	Geschichte	0.01198810098393582
4339	Informationen	-0.011861145192367674
18963	verschiedenen	-0.01183400239802661
11469	dessen	0.011821077016766298
14179	hatte	0.01181754274986785
16160	nun	0.011657673662961106
7296	Sprache	-0.011656290974627514
14565	ihrem	0.01165132039428728
2116	Daten	-0.011610840250436641
16458	politischen	0.011594000542444534
6469	Raum	0.011584931132678219
4598	Karl	0.011527687927536081
5363	Mann	0.011492000906382903
17215	sehr	-0.01138443057814953
11434	denn	0.011233535390380033
19610	wenn	-0.011133333421273595
17525	sprachlichen	-0.011123438049849896
4674	Klassen	-0.011120632670082203
4	+	-0.011039088685422126
11568	dieses	0.010973581348973332
6370	Prädikate	-0.010857257538247171
5784	Natur	0.01078439941988499
6329	Pronomen	-0.010764481098137654
3250	Frauen	0.010674507769014768
19387	vorliegenden	-0.010556451386856631
5197	Leser	0.010536142619853256
5025	La	0.010516896731755808
14519	ich	-0.010463605886638529
13406	gegenüber	0.010278782791102647
9686	anderen	-0.010259277251593184
3343	Fällen	-0.010258644452545347
648	<	-0.01024168847834838
421	3	-0.010151787857421627
8923	Wilhelm	0.01011757995875442
1857	Bild	0.010106498826098553
11424	den	0.009935067457171688
6481	Realität	0.009880219733370943
19256	vom	0.009875849335863829
14687	insgesamt	-0.009825788776834045
6700	Romans	0.009794291483532095
1897	Blick	0.009770445464968597
15698	mehr	0.009752358243202886
5219	Lexeme	-0.009705453585124155
11304	daher	-0.0096797098062257
9312	a	-0.00965646715759406
15533	literarische	0.009640148139995326
7544	Substantiv	-0.009595138415292134
13041	folgenden	-0.009551693576493308
7346	Sprecher	-0.009540864473278047
1489	Bedeutung	-0.009527130983353272
11565	diesem	0.00950292096933436
19208	vier	-0.009428589012187537
3500	Gegenwart	0.009417518698373296
1661	Bereich	-0.009361528931309543
4691	Kleist	0.00936118607815408
11317	dann	-0.009312943671333201
2453	Eigenschaften	-0.009310782626911328
9327	aber	0.009250575794409736
19865	zeigt	-0.00921832652872739
17277	semantischen	-0.009193762481524943
15925	müssen	-0.009161656497402934
8787	Weise	0.0091179645478586
11312	damit	0.008978035492250621
6006	Ort	0.00895988894161962
18454	unterschiedliche	-0.008935237460412282
12049	einzelnen	-0.008862618248244135
14158	handelt	-0.008847964134338334
8292	Vergangenheit	0.008845810567859646
8095	Untersuchungen	-0.008799810420008183
2973	Extrahiert	-0.008798214778311171
15507	liegen	-0.008764181048796432
14406	hinsichtlich	-0.008727954277620659
4968	Kunst	0.00872366904235653
13384	gegen	0.008665206411338281
8176	Vater	0.008660591549621581
4493	Jahre	0.008648397582533968
3890	Gruppen	-0.00864520231796822
19532	weiblichen	0.008567876412129437
17819	syntaktisch	-0.008563049079886394
6384	Präposition	-0.008558045284618183
8217	Verbindungen	-0.00850969861418655
15512	liegt	-0.008459030965106779
7603	Sätzen	-0.00844128976468602
18962	verschiedene	-0.0084294158542851
2511	Einheiten	-0.008403145535291435
5068	Lebens	0.008391112898480007
2212	Deutschen	-0.008366824156482848
9586	alles	0.008351873871718747
14685	ins	0.008351416439570608
11115	bezüglich	-0.008312263229943414
1836	Bezug	-0.008307626427599244
7545	Substantive	-0.008258890389697182
20256	Äußerungen	-0.008253170882680625
3342	Fälle	-0.00820447072886183
14872	jeweils	-0.008199756033372883
20255	Äußerung	-0.008174459023592298
5468	Mensch	0.008087800692234403
17629	steht	0.008075442837454967
11177	bleibt	0.008062675448223174
18488	untersuchten	-0.00803017355169993
5876	Nomen	-0.008009881750390725
16069	neuen	0.007992755111208002
11558	dies	-0.007959613273695822
5889	Norm	-0.00794972957345697
16456	politische	0.007946386746778972
10707	beispielsweise	-0.007938292003836386
6446	Rahmen	-0.007931104221390857
1411	Autorin	0.007905358088300821
2079	DDR	0.007903434317322532
11858	eines	-0.007882029707517061
3223	Frage	-0.007805590875948785
8837	Werke	0.007694361113299053
5482	Merkmale	-0.007667104195682426
9309	]	-0.007663754519744626
17216	sei	0.007641222895049748
13649	gerade	0.007608414679658833
4932	Kriterien	-0.007573248978234618
5673	Mutter	0.007561322152686794
19764	wissenschaftlichen	-0.007538658128841991
15478	lexikalischen	-0.007527114568285103
7500	Studie	-0.007522299591827835
4885	Korpus	-0.007516051459164573
10688	beiden	-0.007459989660244481
15620	macht	0.0074287700864428
8086	Unterschiede	-0.0073703517664899555
5604	Moment	0.007349730324323487
7298	Sprachen	-0.007340122728787018
1145	Arzt	-0.007311521989228448
11567	dieser	0.007292933342807964
19984	zugleich	0.007282553614245549
19531	weibliche	0.007264465744047069
5328	Macht	0.007263198412567591
20207	zwischen	-0.007257669413178498
9684	andere	-0.0072468055678285475
1078	Anzahl	-0.0072392965786703435
10965	bestimmten	-0.007222552334148711
6348	Protagonisten	0.0072105372778984555
10963	bestimmte	-0.0071987467939331655
15900	männlichen	0.007146317826991316
3167	Formen	-0.007130882097090292
6573	Reise	0.0071206863573618304
9046	Wörterbuch	-0.007119508131151398
741	Abstrakta	-0.0071038808075929195
17445	sowohl	-0.007075034831071041
2378	Durchschnitt	-0.007072726850798964
1588	Beispielen	-0.007061906307062072
14485	häufig	-0.007051533486325174
17523	sprachliche	-0.007039361091833722
18456	unterschiedlichen	-0.007038022868775539
40	10	-0.007035226428450744
9019	Wortschatz	-0.00703473544235906
11562	diese	0.007031997766887484
9307	[	-0.007019191667058886
14613	indem	0.007000790625928043
15908	möglich	-0.006980368228408436
1	&	-0.0069751855323945495
4263	Identität	0.006966797392138892
1302	Ausdrücke	-0.006958619456517942
18445	unterscheiden	-0.006949262399058228
6170	Phänomene	-0.006949016926078364
19551	weitere	-0.006914873319659784
17409	solche	-0.006906823094517396
17642	stellt	0.006871061902474895
17418	sollen	-0.006867822428853441
7748	Theater	0.006847640373909013
2909	Erzählung	0.006847403546416852
4611	Kategorien	-0.006846042247294158
11121	bilden	-0.006837005616424941
1479	Bearbeitung	-0.006797978756336932
3020	Familie	0.0067748708507606795
6388	Präpositionen	-0.006771109653298529
11095	bezeichnet	-0.006760030982466878
5156	Leistungen	-0.00674321161902997
17274	semantisch	-0.006739888828727216
8230	Verbs	-0.006738404961491101
6804	Satzes	-0.006709373479155558
3802	Grammatik	-0.006690357155493262
2290	Diskussion	-0.006674057048177456
6061	Paris	0.006655983476306084
1468	Baum	0.0066411399281660136
7454	Stimme	0.006622886670507538
11970	einige	-0.006618878441360091
1805	Bewegung	0.006611542060149898
6363	Prozesse	-0.00659952286225028
6372	Prädikative	-0.006558213877720505
2105	Darstellung	0.006541950870273256
17024	scheint	0.006537830022158983
3261	Freiheit	0.006521509568482973
2026	Campe	0.006498761335797878
536	5	-0.006494794312573676
14869	jeweiligen	-0.006490823045485735
8723	Wahrnehmung	0.006485384893177886
17095	schon	0.006441723090120721
9052	Wörtern	-0.00643553680610876
2210	Deutsch	-0.0064214502497340455
8463	Verteilung	-0.006414361087591768
4825	Konstruktionen	-0.006395651888935364
12587	erscheint	0.006393403493149312
19057	versucht	0.006390856591069112
2334	Drama	0.0063671375290172815
5989	Ordnung	0.006363684759336527
1010	Ansatz	-0.006338973078258138
16096	nichts	0.006331250187545965
7489	Struktur	-0.0063053718803518155
17202	sechs	-0.00624987709373119
1093	Arbeiten	-0.00624370660808936
1048	Anteil	-0.006226123299426281
8630	Vorkommen	-0.006200612956884316
7806	Tochter	0.006182230989398968
3227	Fragen	-0.006180461237826975
3008	Faktoren	-0.006133243346210935
3578	Genitiv	-0.006129030023956264
19723	will	0.006121565087208371
14569	ihres	0.006055725185874906
18085	um	-0.006052258650850073
13250	ganz	0.0060153457670987795
3321	Funktion	-0.005996086604560559
1391	Auswertung	-0.0059911990700944875
11856	einer	0.0059904912442548894
18084	u.a.	-0.005983562458545925
5035	Land	0.0059612527353682535
4692	Kleists	0.005932213276945102
13003	finden	-0.005913590979943111
6773	Sachlichkeit	0.005912812719955228
1148	Aspekte	-0.0059106145230642115
5364	Mannes	0.005905986063380407
1120	Argument	-0.005891645332264112
9583	allerdings	-0.00586530793486157
19825	wäre	-0.005859517093451687
15360	lassen	-0.00585301386174244
9051	Wörterbüchern	-0.005841954273315364
4331	Infinitiv	-0.005834120363052324
6369	Prädikat	-0.005829354085322798
2776	Erinnerung	0.0058203864220833495
6670	Ring	0.0057895837532430175
8715	Wahrheit	0.005779767723908762
10433	außerdem	-0.005768569812992518
12765	etwa	-0.005762297285911325
17219	sein	0.005761357366554253
8995	Wort	-0.005756914941290787
11369	davon	-0.005753281694807531
20403	über	0.005751958177719739
942	Angehörigen	-0.005699056687371465
17420	sollte	-0.00569403095994773
4948	Kultur	0.005689495016774808
11300	dadurch	0.005689465003907011
11254	bürgerlichen	0.005687401996746567
8765	Weg	0.005669519784665234
7062	Seite	0.005669433105518087
17065	schließlich	0.005641440242029056
1868	Bildungen	-0.005636942676582504
782	Adjektiven	-0.005631721451325392
2028	Celan	0.005616734468420817
1264	Augen	0.005588778603832248
20012	zum	0.005576886562588812
14376	hinaus	0.005573575669151606
7501	Studien	-0.005520872811305388
5249	Linguistik	-0.00550559973516835
5292	Ludwig	0.005500948567428672
930	Anforderungen	-0.005488407272462968
3436	Gedichte	0.00548100033030002
5013	Künstler	0.005472866880836385
4883	Kopula	-0.00547131543673299
7420	Stelle	0.0054654598844528415
13750	gesellschaftliche	0.005458192330573353
5179	Lernenden	-0.0054542875891109245
10162	aufweisen	-0.0054378413219119395
4798	Konkretheit	-0.005434459931949023
878	Althochdeutschen	-0.0054275703865942215
597	7	-0.005424169242607442
3786	Gott	0.005416117063724191
9064	Zahlen	-0.005409299324877617
3324	Funktionen	-0.005383644170482253
11803	eigene	0.005367365796661383
8329	Verhältnis	0.005362379667375497
8956	Wissen	-0.005355410886164835
7533	Subjekt	-0.0053448871951570515
15050	kommt	0.005344000979883302
12481	erklären	-0.005340958452050015
8991	Wolf	0.0053201733564885246
4604	Kasus	-0.005310842133904509
6533	Regeln	-0.0053068011877776084
11302	dagegen	-0.005305756814777392
2420	Ehe	0.0052902764389517205
16067	neue	0.005280971764053188
1409	Autor	0.005269728668638036
4741	Kommunikation	-0.005265954650718219
8202	Verarbeitung	-0.005248546440937301
17421	sollten	-0.005235886517531588
5645	Motiv	0.005235006603334211
10121	aufgrund	-0.005234480798312064
7487	Strophe	0.005233522029096915
7437	Stichprobe	-0.005227063920879791
4610	Kategorie	-0.005221078021545929
15294	könnte	-0.005215140573111279
5040	Landschaft	0.005214773462123307
7801	Titel	0.005212119922272121
8085	Unterschied	-0.005201589989976033
7109	Semantik	-0.005177994403350113
4456	Interviews	-0.005175175807192342
5494	Metaphern	-0.005151356690480494
6964	Schriftsteller	0.005140184507275375
8919	Wikipedia	-0.005135945833654559
500	4	-0.005114186004649992
13004	findet	0.005096705325844032
20197	zweiten	-0.005088988606761218
2594	Elemente	-0.005087953125418826
14517	i	-0.005075139826936934
8081	Unterscheidung	-0.0050713875474605145
1410	Autoren	-0.005055849970172574
1953	Brinkmann	0.00505176909493886
5304	Lyrik	0.005050620593362287
6391	Präsenz	0.005003337179199377
7756	Thema	-0.004983371230178642
13959	gilt	-0.004972597140748912
2185	Der	0.004970846897316162
1831	Beziehung	0.004958443566801864
7019	Schwierigkeiten	-0.0049565708995343094
8859	Wesen	0.004951498900286278
8660	Vorstellung	0.004950971336287002
1860	Bilder	0.004944862970378354
2956	Experiment	-0.004942901092023632
20270	Überblick	-0.004931560455795846
5596	Moderne	0.004931510313500911
898	Analysen	-0.004921523303980315
12285	entsprechenden	-0.00491038925413058
5193	Lesen	-0.00490247240230311
17332	sieht	0.004895169034942262
5242	Lied	0.004892745605224293
9005	Wortes	-0.0048896348875293975
20036	zurück	0.004880297690506656
16163	nur	-0.004850575941654566
1621	Belege	-0.0048279695774406176
8426	Version	-0.004818310988879661
3130	Flucht	0.0048048159592815245
3459	Gefühl	0.004792480896571785
6409	Publikum	0.004791334692126876
3781	Goethe	0.004783787359204281
15477	lexikalische	-0.0047812383606107975
2241	Dichter	0.004776979097935439
7597	Szene	0.004771901086038033
5320	Lücke	-0.00475528083298481
937	Angaben	-0.0047341603217535754
12231	enthält	-0.004730057540225422
8966	Wissenschaftssprache	-0.004725598325442039
649	=	-0.004724422086563502
12224	enthalten	-0.004723295576208448
19553	weiteren	-0.004719628929529883
6863	Schicksal	0.00471931416605908
15524	linguistischen	-0.004716043739976666
5840	Neuen	0.004710382671991045
1384	Auswahl	-0.004709797740726426
6647	Revolution	0.0047082418933822225
2790	Erklärung	-0.0047073711134396415
13234	fünf	-0.00470186365695678
660	Abbildung	-0.004675941859413773
4915	Krieg	0.004673205546902273
8838	Werken	0.004667003267047785
7850	Traum	0.004658093237461902
16831	relativ	-0.004657259668305069
8416	Verschriftlichung	-0.004651710576203479
3942	Haltung	0.004642117272079948
993	Annahme	-0.004633433475337033
1431	B	-0.0046311994862621225
11640	dort	0.004627849188851663
13577	genannten	-0.004616163947910561
4578	Kampf	0.004613807725976612
3048	Fehler	-0.004611205323040986
2605	Ellipsen	-0.004600687904978709
4770	Komposita	-0.004595069144798326
20083	zusammen	-0.004584004207716221
2451	Eigennamen	-0.004575253698580989
9580	allen	-0.0045737663737119676
15934	nach	0.004571869045409998
4505	Jahrhunderts	0.0045668886835865015
15053	kommunikativen	-0.004564140456989672
6120	Perspektive	0.00454390553745984
12405	erfährt	0.004540093182695792
8452	Versuch	0.004505636559108169
19607	weniger	-0.0044835300720424826
4757	Kompetenz	-0.004472831794784285
17884	teilweise	-0.004465735938535916
3281	Fremdsprachenunterricht	-0.004461848919988777
20239	Änderungen	-0.004461749234962961
719	Abschnitt	-0.004460619493174638
6985	Schulen	-0.0044567323139255155
2452	Eigenschaft	-0.004455346173786323
24	0	-0.004449980111054278
2759	Ergebnis	-0.004448623494363634
11103	beziehen	-0.004446517462353774
4659	Kindheit	0.0044362732701084635
18486	untersucht	-0.004423762447567014
924	Anfang	0.00440479429156563
9050	Wörterbücher	-0.004398839758183545
15839	modernen	0.004396976287939527
2781	Erkenntnis	0.004396439592249599
19506	was	0.00439458801978621
4864	Konzept	-0.0043890187375446536
18034	tritt	0.004382067752790693
14408	hinter	0.00437455605322743
3782	Goethes	0.004373719402495184
11376	de	0.0043735909437496905
19121	verwenden	-0.004369828288105364
2653	Englischen	-0.004362375079672678
15899	männliche	0.0043579699349319346
1542	Begegnung	0.004357069435992108
7069	Selbst	0.004355642114882373
9566	al.	-0.004344735545447374
9020	Wortschatzes	-0.0043373056252267285
7304	Sprachgebrauch	-0.004334726121888302
13880	gewesen	0.004333793288086404
5885	Nominativ	-0.004326777450363768
7503	Studierende	-0.004320417307749714
2359	Duden	-0.004308676367937182
2145	Definition	-0.004302426191074071
5295	Luise	0.004295155154727613
9002	Worte	0.004289472366307944
5721	NP	-0.004287003365582241
14031	grammatischen	-0.004277647216635023
3285	Frequenz	-0.004257102523001088
14883	jungen	0.004256258678101815
6566	Reihenfolge	-0.004255450716702214
5029	Lage	0.004250433426275501
20226	{	-0.004245007039593893
