	Feature	value
24	OC	-0.21699265409527002
3	AG	0.21564516279239496
22	OA	0.1632461789293785
0	--	-0.14958210605194613
32	PNC	0.09777976362473371
11	CP	-0.09728388901466464
33	RC	0.09610419583999062
13	DA	0.09290802755131865
28	PD	-0.059805143473245545
29	PG	-0.046264492173296756
36	SB	0.04385293789158129
20	NK	-0.042771737416103406
17	MNR	-0.042417478024549926
18	MO	-0.039936580760863594
31	PM	0.036806092346540656
15	EP	-0.028231678695637634
9	CJ	-0.024571818663827072
34	RE	-0.01991301850357617
40	UC	-0.019651479157346042
16	JU	0.019343350164607847
5	APP	0.014623626497958331
37	SBP	0.014261938350495506
7	CC	-0.01002901755168712
1	AC	0.009552806094294519
10	CM	-0.007424108708141234
12	CVC	0.006790096488747368
19	NG	0.0059955880353963
27	PAR	-0.00468796720488957
39	SVP	-0.004424202217837063
21	NMC	-0.004195260427739742
25	OG	0.002145542234171715
30	PH	-0.002101226140179598
26	OP	0.0016982954944630563
41	VO	-0.0007265222231921618
8	CD	0.00040254871857065
4	AMS	-0.00029976252603483317
2	ADC	0.000231220779899708
23	OA2	-0.00013584839173067854
38	SP	4.395182220784041e-05
14	DM	-3.655088864848586e-05
35	RS	2.3115673898188322e-05
6	AVC	5.780554649542158e-06
