	Feature	value
19	VVFIN_>_APPR_MO_>_NN_NK	0.14588076087828156
133	APPR_>_NN_NK_>_PPOSAT_NK	0.12678738654587396
55	NN_>_APPR_MNR_>_NN_NK	-0.11255050058302325
287	APPR_>_NN_NK_>_CARD_NK	-0.10607325708491475
18	APPR_>_NN_NK_>_ADJA_NK	-0.09651696933217829
14	NN_>_NN_AG_>_ART_NK	0.0793311408323053
22	VAFIN_>_NN_SB_>_ART_NK	-0.07349598436533701
336	APPR_>_NN_NK_>_NE_AG	0.07027345463852946
20	APPR_>_NN_NK_>_NN_AG	0.06937778788072223
295	VMFIN_>_VAINF_OC_>_VVPP_OC	-0.069234762445392
23	VAFIN_>_NN_SB_>_ADJA_NK	-0.06696420602683514
156	VVFIN_>_NN_OA_>_ART_NK	0.06439718745394818
304	VVFIN_>_KON_CD_>_VVFIN_CJ	0.062156630210562176
150	VVPP_>_APPR_MO_>_NN_NK	-0.061188983603125066
328	NN_>_VVFIN_RC_>_APPR_MO	0.05983588492579342
232	NN_>_APPR_PG_>_NN_NK	-0.05753998459351004
10	NN_>_APPR_MNR_>_NE_NK	0.050961194349319804
185	NN_>_VVFIN_RC_>_PRELS_SB	0.050215656596802605
259	NN_>_NN_AG_>_PPOSAT_NK	0.04904954800202636
255	VAFIN_>_VVPP_OC_>_APPR_MO	-0.0485275066925379
289	VAINF_>_VVPP_OC_>_APPR_MO	-0.048195520722989896
101	VMFIN_>_NN_SB_>_ART_NK	-0.044736093094470034
13	VVFIN_>_NN_SB_>_ART_NK	0.04134174951605726
350	VVFIN_>_NN_OA_>_PPOSAT_NK	0.03831831336743162
107	APPR_>_NE_NK_>_NE_PNC	0.038300646735201144
204	VVINF_>_NN_OA_>_ADJA_NK	-0.03704742976566773
837	KON_>_VVFIN_CJ_>_APPR_MO	0.03666032412951107
139	VMFIN_>_NN_SB_>_ADJA_NK	-0.032787157623282465
1150	VAFIN_>_NN_SB_>_CARD_NK	-0.0327004213157016
152	VVFIN_>_NE_SB_>_NE_PNC	0.02995227629842704
34	NN_>_NN_CJ_>_NN_CJ	-0.029158104592250673
54	VAFIN_>_NN_SB_>_APPR_MNR	-0.02862546164127491
123	VVFIN_>_NN_SB_>_CARD_NK	-0.027636963668127977
218	KON_>_VVFIN_CJ_>_NN_OA	0.02749856181288062
193	VVINF_>_APPR_MO_>_NN_NK	-0.02744610695757685
285	APPR_>_NN_NK_>_PIAT_NK	-0.026625387679157557
513	APPR_>_NN_NK_>_VVFIN_RC	0.026031461904055864
231	APPR_>_NN_NK_>_APPR_PG	-0.02482822593049197
670	NN_>_CARD_NK_>_ADV_MO	-0.02435575626334945
273	VVFIN_>_APPR_MO_>_NE_NK	0.02313710943731422
137	VAFIN_>_NN_SB_>_NN_AG	-0.02312814581868429
127	NN_>_NE_NK_>_NE_PNC	0.02301334989515301
37	VVFIN_>_NN_SB_>_ADJA_NK	-0.022884309809351175
490	NN_>_KON_CD_>_TRUNC_CJ	-0.02263760733339835
305	KON_>_VVFIN_CJ_>_ADV_MO	0.022562122598609718
736	VVFIN_>_NN_DA_>_ART_NK	0.022296674426440857
11	VVFIN_>_APPRART_MO_>_NN_NK	0.021910104969689974
410	VAFIN_>_VVPP_OC_>_ADJD_MO	-0.021796490169803544
483	VAINF_>_VVPP_OC_>_ADJD_MO	-0.02175628299763753
333	NN_>_VVFIN_RC_>_NN_OA	0.02169498652811095
219	VVFIN_>_NN_OA_>_NN_AG	0.02143844550828737
36	KON_>_NN_CJ_>_ART_NK	0.021389325270020486
503	VMFIN_>_APPR_MO_>_NN_NK	-0.021233370348947803
41	NN_>_APPRART_MNR_>_NN_NK	-0.02112200379466627
26	NN_>_KON_CD_>_NN_CJ	0.020820614635793905
564	NN_>_ADJA_NK_>_ADJD_MO	-0.020332687503545745
47	VVFIN_>_VVINF_OC_>_PTKZU_PM	0.02021441212309399
330	NN_>_VVFIN_RC_>_PPER_SB	0.018485398270126192
987	NN_>_VVFIN_RC_>_ADV_MO	0.01847587446898498
354	VVPP_>_APPRART_MO_>_NN_NK	-0.01826117966343107
334	NN_>_NN_AG_>_VVFIN_RC	0.01821675939754647
258	VAFIN_>_NN_SB_>_PIAT_NK	-0.018071190383210797
1360	VVFIN_>_NN_SB_>_PPOSAT_NK	0.017701283250367454
142	KON_>_NN_CJ_>_PPOSAT_NK	0.01760129969245383
428	VVFIN_>_NN_SB_>_NE_AG	0.017260586939655445
375	NN_>_NE_AG_>_NE_PNC	0.01672570967934569
146	VAFIN_>_APPR_MO_>_NN_NK	-0.01633397862903615
298	VVFIN_>_NN_OA_>_PIAT_NK	-0.0159904656420466
96	APPR_>_NN_NK_>_KON_CD	0.015810102237290825
4	VVINF_>_NN_OA_>_ART_NK	-0.015672776617329645
986	NN_>_VVFIN_RC_>_KON_CD	0.015652481106152534
104	VVINF_>_NN_OA_>_PPOSAT_NK	0.015602799048159328
358	NN_>_VVFIN_RC_>_PRF_OA	0.015361048392950065
270	VVFIN_>_NN_OA_>_CARD_NK	-0.015224034915406047
83	VAFIN_>_ADJD_PD_>_ADJD_MO	-0.014776379939195864
66	NN_>_ADJA_NK_>_KON_CD	-0.014459461216011174
325	NN_>_NN_APP_>_ART_NK	0.014444607254569454
64	VAFIN_>_NN_PD_>_ART_NK	0.014382712892837
217	KON_>_VVFIN_CJ_>_PPER_SB	0.014258746859348196
44	ADJD_>_KON_CD_>_ADJD_CJ	-0.014023748755749237
639	NN_>_VVFIN_RC_>_PRELS_OA	0.014020185272714753
117	VVPP_>_NN_OA_>_ART_NK	0.01394814960116321
151	VVFIN_>_VVFIN_MO_>_KOUS_CP	0.013940861053020578
59	VAFIN_>_VVINF_OC_>_PTKZU_PM	-0.013933112110009556
271	VVFIN_>_VVFIN_MO_>_PPER_SB	0.01378653282717292
479	NN_>_ADJA_NK_>_ADJA_CJ	0.013197884742215683
349	APPR_>_NN_NK_>_PDAT_NK	0.0129460291561266
421	CARD_>_KON_CD_>_CARD_CJ	-0.012901543521768786
246	VAFIN_>_NN_SB_>_PPOSAT_NK	0.012836549344637488
612	VAFIN_>_VVINF_OC_>_APPR_MO	-0.012765042676819695
482	VAFIN_>_NN_SB_>_NE_AG	0.012657271616447696
268	NN_>_VVPP_RC_>_APPR_MO	0.012568261536603838
1041	VVFIN_>_APPR_MO_>_PPER_NK	0.012469477299210972
103	VMFIN_>_NN_SB_>_APPR_MNR	-0.012446758174358747
318	VVFIN_>_NN_SB_>_PIAT_NK	-0.012389844735029482
370	NN_>_VVINF_RC_>_PRELS_SB	-0.012093378539082794
604	KON_>_VVFIN_CJ_>_PRF_OA	0.011954945574968217
353	VAFIN_>_VVPP_OC_>_APPRART_MO	-0.011890636474211888
128	APPR_>_NN_NK_>_NE_NK	0.011834899023510799
329	VVFIN_>_APPR_MO_>_PRELS_NK	0.01158558223481991
548	VVFIN_>_ADV_MO_>_ADV_MO	0.011432068050293787
478	VAFIN_>_VVPP_OC_>_PROAV_MO	-0.011420188583741433
1815	VVFIN_>_VVFIN_CJ_>_PPER_SB	0.011399904922341629
109	NN_>_VAFIN_RC_>_PRELS_SB	0.011342837984904918
161	VAFIN_>_NE_SB_>_NE_PNC	0.011333433374698233
266	NN_>_VVPP_RC_>_PRELS_SB	0.011299782204642441
532	VMFIN_>_NN_SB_>_NN_AG	-0.01123682602305459
8039	VVFIN_>_PPER_SB_>_ART_NK	0.011187190051223421
17	APPR_>_NN_NK_>_ART_NK	0.01115282776097079
67	ADJA_>_KON_CD_>_ADJA_CJ	-0.011089024217333543
754	NN_>_VVINF_OC_>_PTKZU_PM	0.01096121937947611
95	VVINF_>_NN_OA_>_APPR_MNR	-0.010943723482377859
301	VVFIN_>_VVFIN_CJ_>_APPR_MO	0.010653970577475327
484	KON_>_VVFIN_CJ_>_NN_SB	0.01051468153056287
5	VMFIN_>_VVINF_OC_>_NN_OA	-0.010436436040528026
1019	VVPP_>_NN_OA_>_PPOSAT_NK	0.010417553878557828
1276	NN_>_CARD_NK_>_KON_CD	-0.010261696048330549
316	VVFIN_>_NN_SB_>_VVFIN_RC	0.010241679595632283
25	VAFIN_>_NN_SB_>_KON_CD	-0.010222270111175097
