	Feature	value
51	NN_>_APPR_>_NN	-0.16201453638454497
17	VVFIN_>_APPR_>_NN	0.14218323105427957
13	VVFIN_>_NN_>_ART	0.13406496928359643
129	APPR_>_NN_>_PPOSAT	0.12686742123696843
248	APPR_>_NN_>_CARD	-0.10625074560968302
1	NN_>_NN_>_ART	0.10139437484985822
16	APPR_>_NN_>_ADJA	-0.09642545909562508
124	APPR_>_NN_>_NE	0.08503046346834889
21	VAFIN_>_NN_>_ADJA	-0.08073734136092285
255	VMFIN_>_VAINF_>_VVPP	-0.0726238061927792
167	NN_>_VVFIN_>_PRELS	0.06560622512779754
18	APPR_>_NN_>_NN	0.06540237019193516
20	VAFIN_>_NN_>_ART	-0.06493910716318034
65	VVFIN_>_NN_>_PPOSAT	0.06253597947365694
262	VVFIN_>_KON_>_VVFIN	0.06241148842728099
279	NN_>_VVFIN_>_APPR	0.06077505770934919
26	VVPP_>_APPR_>_NN	-0.05766564697098629
10	NN_>_APPR_>_NE	0.057170529295437825
225	NN_>_NN_>_PPOSAT	0.05382559519978392
250	VAINF_>_VVPP_>_APPR	-0.053616516547503046
118	VVFIN_>_NN_>_CARD	-0.05173847147923486
30	NN_>_NN_>_NN	-0.051143258194337016
103	APPR_>_NE_>_NE	0.047710108867647885
185	VVINF_>_NN_>_ADJA	-0.04555445608838568
123	NN_>_NE_>_NE	0.04491003167399746
97	VMFIN_>_NN_>_ART	-0.044703521311875535
198	KON_>_VVFIN_>_NN	0.04447281232906918
131	VAFIN_>_VVPP_>_APPR	-0.043471404292397944
844	VAFIN_>_NN_>_CARD	-0.04317589168673511
510	KON_>_VVFIN_>_APPR	0.04137998938646259
50	VAFIN_>_NN_>_APPR	-0.036478245948173435
246	VVFIN_>_NN_>_NE	0.03626046836174656
132	VMFIN_>_NN_>_ADJA	-0.03347320352469113
284	NN_>_VVFIN_>_NN	0.033417247783386006
234	VVFIN_>_VVFIN_>_PPER	0.03183964321275472
143	VVFIN_>_NE_>_NE	0.031812108447131206
72	VAFIN_>_NN_>_NN	-0.029075812571721947
281	NN_>_VVFIN_>_PPER	0.02854919962724537
989	NN_>_NN_>_CARD	-0.028021080352568492
42	VVFIN_>_VVINF_>_PTKZU	0.02787141158309835
258	VVFIN_>_NN_>_PIAT	-0.02758318366127056
204	VAFIN_>_VVPP_>_ADJD	-0.02758296846587705
126	APPR_>_NN_>_APPR	-0.026640114770265136
414	APPR_>_NN_>_VVFIN	0.026524787862990576
247	APPR_>_NN_>_PIAT	-0.0262244407615028
197	KON_>_VVFIN_>_PPER	0.025923532315857666
87	VVINF_>_APPR_>_NN	-0.025385583709408625
236	VVFIN_>_APPR_>_NE	0.02510274702100429
529	NN_>_CARD_>_ADV	-0.024736581585486677
388	VAINF_>_VVPP_>_ADJD	-0.022784898604876567
392	NN_>_KON_>_TRUNC	-0.02263760733339835
11	VVFIN_>_APPRART_>_NN	0.02256774324918992
263	KON_>_VVFIN_>_ADV	0.022558584832242216
224	VAFIN_>_NN_>_PIAT	-0.02230599949466605
8	NN_>_APPRART_>_NN	-0.021781176433210668
285	NN_>_NN_>_VVFIN	0.021682618175982125
112	VVPP_>_NN_>_ART	0.02158239439041639
32	KON_>_NN_>_ART	0.021458987509853113
404	VMFIN_>_APPR_>_NN	-0.021111880849888562
24	NN_>_KON_>_NN	0.020765273608904733
737	NN_>_VVFIN_>_ADV	0.019902316584884953
447	NN_>_ADJA_>_ADJD	-0.019869351704206572
100	VVINF_>_NN_>_PPOSAT	0.018677032364352433
14	VVFIN_>_NN_>_NN	0.018272632722871537
4	VVINF_>_NN_>_ART	-0.017838244243064672
169	VVFIN_>_NN_>_VVFIN	0.01762717908394423
136	KON_>_NN_>_PPOSAT	0.017579310246315386
2	NN_>_NN_>_ADJA	-0.017526811802540038
235	VVFIN_>_VVFIN_>_APPR	0.016910593876195028
119	VVFIN_>_NN_>_KON	0.01688391705966679
9	APPRART_>_NN_>_APPR	-0.016553710960135713
91	VVINF_>_NN_>_APPR	-0.016517315001550577
99	VMFIN_>_NN_>_APPR	-0.016511752002086707
301	NN_>_VVFIN_>_PRF	0.01643990762487895
139	VAFIN_>_APPR_>_NN	-0.016247074385466485
3	VMFIN_>_NN_>_NN	-0.015941109258530855
218	VAFIN_>_NN_>_PPOSAT	0.01589713431200958
79	VAFIN_>_ADJD_>_ADJD	-0.01579320091183284
92	APPR_>_NN_>_KON	0.015616328014368207
445	VAFIN_>_VVINF_>_APPR	-0.0155087763617681
736	NN_>_VVFIN_>_KON	0.015181074449465069
55	VAFIN_>_VVINF_>_PTKZU	-0.014778542976020166
62	NN_>_ADJA_>_KON	-0.014758959281685507
232	NN_>_VVPP_>_APPR	0.014735596622052212
22	VVFIN_>_VAFIN_>_NN	-0.01463468053179797
216	VAFIN_>_NN_>_NE	0.014490692283962383
31	NN_>_NN_>_KON	-0.014467535233320169
230	NN_>_VVPP_>_PRELS	0.014278750358057523
277	VVFIN_>_VVFIN_>_ADV	0.014161457643870376
60	VAFIN_>_VAFIN_>_NN	-0.01415819890005863
39	ADJD_>_KON_>_ADJD	-0.014110130119819854
297	VVPP_>_APPRART_>_NN	-0.013897346724909675
769	VVFIN_>_APPR_>_PPER	0.01376583492953281
150	VAFIN_>_NE_>_NE	0.013284873572715183
341	CARD_>_KON_>_CARD	-0.012950859800161852
113	VAFIN_>_VVPP_>_NN	0.012942953020355273
294	APPR_>_NN_>_PDAT	0.012937394481681122
385	NN_>_ADJA_>_ADJA	0.01281557931266522
561	VMFIN_>_VAFIN_>_NN	-0.012810106418051378
754	VVPP_>_NN_>_PPOSAT	0.012438030576559473
420	VVFIN_>_VVPP_>_APPR	0.012380821947668933
658	VVFIN_>_VAFIN_>_PPER	0.012311813091290381
483	KON_>_VVFIN_>_PRF	0.012279941640322013
226	NN_>_NN_>_NE	0.012160155853991963
1340	VAINF_>_NN_>_ADJA	-0.01210520920533998
660	VVFIN_>_VAFIN_>_ADJD	-0.011908893288628448
5	VMFIN_>_VVINF_>_NN	-0.011784537583601606
308	NN_>_VVINF_>_PRELS	-0.011778538436000009
105	NN_>_VAFIN_>_PRELS	0.01177181047237601
756	VAFIN_>_VVPP_>_PPER	0.011580635743821106
433	VVFIN_>_ADV_>_ADV	0.011486051930269303
3399	VVFIN_>_PPER_>_ART	0.011483973223480035
384	VAFIN_>_VVPP_>_PROAV	-0.011430993933895106
337	VVFIN_>_NN_>_PDAT	0.0112076251252156
15	APPR_>_NN_>_ART	0.011169756293639643
63	ADJA_>_KON_>_ADJA	-0.011106389247635545
280	VVFIN_>_APPR_>_PRELS	0.010999660010717376
579	NN_>_VVINF_>_PTKZU	0.010871550936281636
909	NN_>_CARD_>_KON	-0.010794986831188446
212	VMFIN_>_VVFIN_>_NN	-0.010772757766096257
261	VVFIN_>_VVFIN_>_KON	0.010771087248480759
290	VVFIN_>_APPR_>_ADV	0.010388927087737131
287	VVPP_>_APPR_>_NE	0.010309596268639247
289	NN_>_ADJA_>_ADV	-0.010245847057284818
108	NN_>_VAFIN_>_VVPP	0.010235722554173616
484	KON_>_VVFIN_>_ADJD	0.00997123821398103
296	VAFIN_>_VVPP_>_APPRART	-0.009964676550831542
330	NN_>_VVFIN_>_APPRART	0.009957318888888083
1126	NN_>_VAINF_>_VVPP	-0.009898393406573582
395	NN_>_VAFIN_>_NN	-0.009860021583379045
149	VAFIN_>_VAFIN_>_KOUS	-0.009829704096049259
562	VMFIN_>_VAFIN_>_VVPP	-0.009827870194008057
1557	NN_>_VVPP_>_NN	0.00982202708498122
