	Feature	value
3949	in_APPR_>_Bezug_NN_>_auf_APPR	-0.006596851967142136
4498	in_APPR_>_Regel_NN_>_der_ART	-0.005562097823124951
1303	auf_APPR_>_Weise_NN_>_diese_PDAT	0.00480369092133643
3629	im_APPRART_>_Hinblick_NN_>_auf_APPR	-0.0046853014429966205
3736	im_APPRART_>_Vergleich_NN_>_zu_APPR	-0.003541668502846237
3829	in_APPR_>_Arbeit_NN_>_dieser_PDAT	-0.0032439396273566535
3827	in_APPR_>_Arbeit_NN_>_der_ART	-0.0029870615710577853
11365	wird_VAFIN_>_eingegangen_VVPP_>_auf_APPR	-0.002986774828055463
3687	im_APPRART_>_Rahmen_NN_>_Arbeit_NN	-0.0029486825402055368
4706	in_APPR_>_Untersuchung_NN_>_der_ART	-0.0028683755764412123
3978	in_APPR_>_DDR_NE_>_der_ART	0.00278775243022739
808	an_APPR_>_Stelle_NN_>_dieser_PDAT	0.002707369290334983
4805	in_APPR_>_Wörterbüchern_NN_>_den_ART	-0.00260988650115275
4147	in_APPR_>_Gesellschaft_NN_>_der_ART	0.002586881269121887
4769	in_APPR_>_Welt_NN_>_der_ART	0.0025860478440982927
7462	mit_APPR_>_Blick_NN_>_auf_APPR	0.0025431310117867856
4243	in_APPR_>_Jahren_NN_>_den_ART	0.002540868684898243
4341	in_APPR_>_Lage_NN_>_der_ART	0.0024253297755345853
8724	spielen_VVFIN_>_Rolle_NN_>_eine_ART	-0.0024095287878504105
4171	in_APPR_>_Gruppe_NN_>_der_ART	-0.002345047244340857
4597	in_APPR_>_Sprache_NN_>_der_ART	-0.002341105673742997
4048	in_APPR_>_Fall_NN_>_diesem_PDAT	-0.002304095387510674
1	%_NN_>_und_KON_>_%_NN	-0.0021147244426757217
4361	in_APPR_>_Linguistik_NN_>_der_ART	-0.0020412089772281735
4363	in_APPR_>_Linie_NN_>_erster_ADJA	0.002000134586406898
5148	ist_VAFIN_>_Fall_NN_>_der_ART	-0.001986786041642014
4130	in_APPR_>_Gegenwart_NN_>_der_ART	0.001975755442187646
2921	für_APPR_>_Untersuchung_NN_>_die_ART	-0.0019672403181083572
4270	in_APPR_>_Kapitel_NN_>_diesem_PDAT	-0.0019280915565370914
4647	in_APPR_>_Tabelle_NN_>_der_ART	-0.0018931016239965655
4126	in_APPR_>_Gedichten_NN_>_den_ART	0.0018685979141840811
3833	in_APPR_>_Arbeit_NN_>_vorliegenden_ADJA	-0.0018445768298014755
4124	in_APPR_>_Gedicht_NN_>_dem_ART	0.0018390740083767073
4106	in_APPR_>_Fällen_NN_>_den_ART	-0.0018317315880538635
684	als_APPR_>_sondern_KON_>_als_APPR	0.0018231970835261143
4107	in_APPR_>_Fällen_NN_>_diesen_PDAT	-0.0018195300103047375
35	Anteil_NN_>_von_APPR_>_%_NN	-0.0018019109122098434
4079	in_APPR_>_Form_NN_>_von_APPR	-0.001798192773298783
2767	für_APPR_>_Erfassung_NN_>_die_ART	-0.0017670953254406347
4555	in_APPR_>_Schritt_NN_>_einem_ART	-0.001744581897959627
4573	in_APPR_>_Sinne_NN_>_diesem_PDAT	0.001720464057866637
4713	in_APPR_>_Untersuchung_NN_>_vorliegenden_ADJA	-0.0017115339627928417
